,region,district,party,name,gender,birth,job,achievement,career,vote_rate,age,regeion,job2,achievement,,,,
171,대구,동구을,새누리당,유승민,남,1958-01-07,국회의원,"美위스콘신대학교(매디슨) 경제학과 졸업(경제학 박사, 1983.09~1987.12)",前 한나라당(현 새누리당) 최고위원,"57,556",59,대구,국회의원,美위스콘신대학교(매디슨),,,,
148,경북,구미시갑,새누리당,심학봉,남,1961-04-11,(현)구미경제발전위원회위원장,"미조리-콜롬비아대학교 경제학과 졸업(경제학석사, 95.12~97.12)",(전)청와대 경제수석실 지식경제비서관실 선임행정관,"52,353",56,경북,위원장,미조리-콜롬비아대학교,,,,
11,경기,화성시갑,새누리당,고희선,남,1949-09-21,기업인,반월중학교졸업,(현)농우바이오 회장,"37,244",68,경기,기업인,반월중학교졸업,,,,
95,경남,김해시갑,민주통합당,민홍철,남,1961-04-18,변호사,부산대학교 대학원 법학과 졸업(석사),(전)국방부 고등군사법원장,"41,358",56,경남,변호사,부산대학교,,,,
177,부산,수영구,새누리당,유재중,남,1956-03-27,국회의원,부산대학교 대학원 법학박사,(전)수영구청장,"37,701",61,부산,국회의원,부산대학교,,,,
120,비례,비례대표,민주통합당,배재정,여,1968-02-16,부산문화재단 기획홍보팀장,부산대학교 대학원 예술·문화와영상매체협동과정 재학,(전) 부산일보 인터넷뉴스부장,,49,비례,기타,부산대학교,,,,
261,부산,사하구을,민주통합당,조경태,남,1968-01-10,국회의원,부산대학교 대학원 토목공학 박사,(현) 제18대 국회의원,"49,849",49,부산,국회의원,부산대학교,,,,
168,서울,강북구을,민주통합당,유대운,남,1950-01-10,정당인,부성국민학교졸업,(현) 노무현재단 기획위원,"40,755",67,서울,정당인,부성국민학교졸업,,,,
125,부산,해운대구기장군갑,새누리당,서병수,남,1952-01-09,국회의원,북일리노이 주립대학교 대학원 졸업(학위명: 경제학 박사) 수학기간 : 84.9~ 87.12,(전)해운대구구청장,"68,136",65,부산,국회의원,북일리노이,수학기간,:,84.9~,87.12
42,서울,영등포구갑,민주통합당,김영주(지),여,1955-07-27,정당인,서강대학교 경제대학원졸업(경제학석사),(전)제17대 국회의원,"52,232",62,서울,정당인,서강대학교,,,,
258,서울,마포구을,민주통합당,정청래,남,1965-04-18,정당인,서강대학교 공공정책대학원졸업(정치학석사),(전)제17대 국회의원,"58,163",52,서울,정당인,서강대학교,,,,
110,서울,구로구을,민주통합당,박영선,여,1960-01-22,국회의원,서강대학교 언론대학원 졸업(문학석사),(전)MBC 앵커(경제부장),"54,902",57,서울,국회의원,서강대학교,,,,
96,비례,비례대표,새누리당,박근혜,여,1952-02-02,국회의원,서강대학교 전자공학과졸업,"15,16,17,18대 국회의원",,65,비례,국회의원,서강대학교,,,,
67,충남,보령시서천군,새누리당,김태흠,남,1963-01-11,정당인,서강대학교공공정책대학원 사회복지정책학과 졸업(행정학석사),(전)충남정무부지사,"35,197",54,충남,정당인,서강대학교공공정책대학원,,,,
265,경남,밀양시창녕군,새누리당,조해진,남,1963-08-04,국회의원,서울대 대학원 법학과 졸업(법학석사),(전) 한나라당 대변인,"42,041",54,경남,국회의원,서울대,,,,
99,울산,북구,새누리당,박대동,남,1951-05-13,정당인,서울대학교 경제학과 졸업,전)예금보험공사 사장,"40,116",66,울산,정당인,서울대학교,,,,
128,부산,남구을,새누리당,서용교,남,1968-01-21,정당인,서울대학교 국사학과 졸업,(현) 새누리당 수석부대변인,"33,256",49,부산,정당인,서울대학교,,,,
167,서울,관악구갑,민주통합당,유기홍,남,1958-06-11,정당인,서울대학교 국사학과 졸업,(전) 제17대 국회의원,"63,611",59,서울,정당인,서울대학교,,,,
38,부산,금정구,새누리당,김세연,남,1972-07-15,국회의원,서울대학교 국제경제학과 졸업,(현)새누리당 비상대책위원,"74,103",45,부산,국회의원,서울대학교,,,,
298,인천,연수구,새누리당,황우여,남,1947-08-03,국회의원,서울대학교 대학원 법학과 (박사과정)졸업,(현) 제18대 국회의원,"63,341",70,인천,국회의원,서울대학교,,,,
23,울산,남구을,새누리당,김기현,남,1959-02-21,정치인,서울대학교 대학원 법학과 수료(석사과정),(전) 한나라당 대변인,"38,054",58,울산,정당인,서울대학교,,,,
119,전남,나주시화순군,민주통합당,배기운,남,1950-09-29,정당인,서울대학교 대학원 법학과 졸업,(전) 보훈복지공단 이사장,"39,887",67,전남,정당인,서울대학교,,,,
45,비례,비례대표,민주통합당,김용익,남,1952-08-22,서울대학교 의과대학 교수,서울대학교 대학원 의학박사,(현)서울대학교 의과대학 교수,,65,비례,교수,서울대학교,,,,
13,대구,북구갑,새누리당,권은희,여,1959-05-24,(주)헤리트대표이사,서울대학교 대학원 전자계산기공학과 졸업(공학석사),(전)KT상무,"37,201",58,대구,기업인,서울대학교,,,,
65,경남,김해시을,새누리당,김태호,남,1962-08-21,국회의원,서울대학교 대학원 졸업(교육학박사),(전)경남도지사,"63,290",55,경남,국회의원,서울대학교,,,,
10,충북,증평군진천군괴산군음성군,새누리당,경대수,남,1958-03-18,변호사,서울대학교 대학원(석사과정) 법학과 수료,(현)새누리당 충북도당 위원장,"51,471",59,충북,변호사,서울대학교,,,,
22,비례,비례대표,민주통합당,김기준,남,1957-07-04,노동운동가,서울대학교 무역학과 졸업,(전)금융노조 위원장,,60,비례,운동가,서울대학교,,,,
