대여일자,대여시간,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이동시간
2019-05-28,20,1452,1452. 겸재교 진입부,일일권,,30대,1,40.99,0.32,1380.0,12
2019-05-28,7,1441,1441. 신내능말공원,정기권,F,30대,1,328.44,3.32,14300.0,52
2019-05-27,2,1021,1021. 강일동 리슈빌 빌딩앞,정기권,,50대,1,\N,\N,0.0,50
2019-05-30,1,1616,1616. 하계2동 공항버스정류장 옆,정기권,M,30대,1,48.15,0.45,1930.0,25
2019-05-31,11,2303,2303. 논현역 7번출구,일일권,M,50대,1,54.05,0.42,1820.0,15
2019-05-31,16,591,591. 건국대학교 (행정관),정기권,M,20대,1,63.48,0.53,2290.0,14
2019-05-24,18,438,438. 성산2-1 공영주차장,정기권,,30대,1,221.21,2.16,9310.0,90
2019-05-24,22,1831,1831. 메이퀸웨딩컨벤션 앞,일일권,M,20대,1,124.07,1.12,4820.0,21
2019-05-26,11,1051,1051. 양지시장 (용성약국앞) 입구,정기권,M,60대,1,42.69,0.36,1540.0,10
2019-05-27,22,503,503. 더샵스타시티 C동 앞,정기권,M,30대,1,33.90,0.25,1070.0,6
2019-05-24,18,2369,2369. KT선릉타워,정기권,M,30대,1,\N,\N,0.0,21
2019-05-30,21,500,500. 어린이대공원역 3번출구 앞,정기권,,~10대,1,19.17,0.20,880.0,7
2019-05-26,0,2211,2211. 서초구립반포도서관 앞,정기권,M,40대,1,43.96,0.34,1480.0,8
2019-05-28,21,148,148. 용강동 주민센터 앞,정기권,F,20대,1,24.56,0.27,1170.0,11
2019-05-28,19,2320,2320. 도곡역 대치지구대 방향,정기권,F,30대,1,92.92,0.84,3610.0,18
2019-05-26,8,1124,1124. 발산역 6번출구옆(다이소앞),정기권,M,20대,1,66.92,0.60,2600.0,10
2019-05-28,10,2255,2255.시민의숲역 1번출구 옆,정기권,,30대,1,0.00,0.00,0.0,5
2019-05-26,14,1506,1506. 강북문화예술회관,정기권,,30대,1,135.15,1.00,4320.0,32
2019-05-24,9,2325,2325. 대치동 버거킹대치점,정기권,M,20대,1,1679.55,13.48,58100.0,3
2019-05-28,7,1336,1336. 성북3교 위,정기권,,40대,1,108.46,0.77,3340.0,16
2019-05-29,8,911,911. 은평평화공원(역촌역4번출구),정기권,M,30대,2,274.70,2.02,8730.0,37
2019-05-31,19,2618,2618. 삼전역 1번출구,정기권,,20대,3,112.38,1.09,4730.0,307
2019-05-27,16,1920,1920. 서울미래초등학교 사거리,정기권,F,20대,1,34.62,0.33,1410.0,13
2019-05-25,9,2060,2060. 남성역3번출구 뒤,정기권,,40대,1,33.98,0.30,1300.0,7
2019-05-24,20,565,565. 옥수역 3번출구,일일권,M,20대,2,310.95,3.21,13810.0,146
2019-05-27,22,1201,1201. 가락시장역 3번 출구,정기권,,40대,1,0.00,0.00,0.0,11
2019-05-28,8,2242,2242.양재역 11번 출구 앞,정기권,,40대,2,135.11,1.14,4930.0,30
2019-05-24,20,279,279. 영등포 푸르지오 아파트,정기권,M,20대,1,48.23,0.40,1740.0,12
2019-05-28,18,624,624. 전농동 동아아파트 앞,정기권,M,50대,2,141.50,1.21,5220.0,27
2019-05-25,0,933,933. LG서비스 역촌점,정기권,M,50대,2,96.65,0.70,3010.0,17
2019-05-31,14,2172,2172. 나들목공원,정기권,,20대,1,332.05,2.99,12900.0,81
2019-05-31,15,1146,1146. 곰달래사거리,정기권,,20대,1,117.53,0.86,3710.0,14
2019-05-27,19,2220,2220. 반포본동 주민센터 앞,정기권,,40대,1,443.88,2.36,10190.0,46
2019-05-27,22,152,152. 마포구민체육센터 앞,정기권,F,30대,3,337.42,3.92,16870.0,85
2019-05-31,16,3519,3519. 용답역 1번 출구,일일권,,20대,2,547.77,5.05,21760.0,112
2019-05-31,15,355,355. 서울사대부속초교 앞,정기권,F,30대,1,\N,\N,0.0,30
2019-05-30,12,342,342. 대학로 마로니에공원,정기권,F,20대,1,25.45,0.29,1260.0,14
2019-05-24,23,202,202. 국민일보 앞,정기권,,20대,1,105.63,1.13,4850.0,34
2019-05-31,11,176,176. 명지대학교 도서관,일일권,M,20대,1,28.31,0.26,1100.0,15
2019-05-26,19,266,266. 영등포청과시장 사거리,일일권,,20대,1,339.87,2.97,12810.0,68
2019-05-27,14,1655,1655. 공릉1단지아파트,정기권,M,20대,1,74.84,0.58,2520.0,14
2019-05-25,23,1185,1185. 등촌9단지,정기권,,20대,1,15.96,0.14,620.0,4
2019-05-31,18,426,426. 서울신용보증재단,정기권,M,20대,1,164.54,1.29,5540.0,25
2019-05-31,9,1539,1539. 4.19민주묘지역,정기권,M,20대,1,552.02,3.23,13940.0,48
2019-05-25,7,654,654. 전농동 텃골공원,정기권,F,30대,1,104.20,1.17,5060.0,36
2019-05-30,23,1431,1431. 중랑구청 사거리,정기권,,20대,1,80.86,0.58,2490.0,11
2019-05-29,8,1199,1199. 우장산역 3번출구,정기권,M,30대,1,83.00,0.61,2620.0,15
2019-05-30,13,2621,2621. 한성백제역 2번 출구,정기권,F,20대,2,1600.25,11.20,48270.0,60
2019-05-28,17,405,405. DMC빌 앞,정기권,M,40대,1,1381.41,8.52,36720.0,145
