"","user","grade","review"
"338","나민주","10","2두번째불쌍한마음아깝다터널정유미김수안두사랑하고싶어요안될까요제발보내드립니다!네"
"339","su","9",""
"340","Nabi","9",""
"341","천천히","7",""
"342","나쯤","6",""
"343","소울","8",""
"344","쭈기","9","보고또보고 넘넘 잼나게 봤어요"
"345","송창호","8",""
"346","구름저편에","10","어린  아들을  키우는  엄마인데...   가슴이  먹먹해서   한참을   울었네요"
"347","곽경숙","6",""
"348","kjo1779","8",""
"349","apple","6","한국판 좀비영화..재미도 약간 있고....다른 사람은 물리면 좀비로 바로 변하는데, 공유, 마동석은 왜 바로 안변하나?선로에 다른 기차는?너희들이 매일 손에 들고 다니는 스마트폰이 SNS도 안되고,좀비가 폭동이라고?외부에서 좀비에 관한 정보나 상황도 못 얻고, ...그게 스마트폰의 정체다!그런건 버려!!"
"350","뚜바뚜바","1","이런 재미없는 영화가 어찌 천만을? 20년 전에 개봉했던 영화 황혼에서 새벽까지라는 영화를 많이모티브로 삼은듯..."
"351","aqqsql","4","전혀 기대안하고 봤지만 생각보다는 괜찮았슴"
"352","제발쪼오옴","3","아직까진 좀비는 좀 무리..."
"353","최부자","10","재미있어요."
"354","철이에요","3","말도안되는 긴강감만있는 허구투성이,영화가 아무리허구라지만.."
"355","kkang","10","몰입도 최고! 상업성과 작품성 모두 잡은 영화!"
"356","체리공주","9","개연성이 좀 떨어진 느낌이지만 계속해서 긴장을 늦추지 않고 끝까지 재미있게 봤어요.... 가족의 소중함을 일깨워준 영화"
"357","빽곰","7","저같이 사건과 스토리에 원인과  결과를  따지는  분이라면 비추 ,다만 집중력은  갑!  기관차에 매달리는 좀비들  꿈에 나올까 두렵다"
"358","초콜렛","9",""
"359","ghlrPtkehlwk","9","김의성 만나기만 해봐라 내손에 죽었다. 들개밥으로 줘야지"
"360","블링블링","5","스릴감있는 출발하지만 종점엔 단순한 휴머니즘"
"361","곰팅이","1","헐. 밑도끝도 없다"
